nrh,ix,L,R
2,5,1943,1979
4,8,1953,1983
6,6,1917,1967
7,4,1919,1996
8,4,1890,1969
9,7,1896,1985
10,2,1908,1988
11,5,1895,1987
13,5,1940,2015
14,3,1943,2050
16,7,1917,2020
18,7,1929,2020
21,7,1875,2044
22,3,1851,2035
24,5,1935,2055
25,8,1889,2076
27,1,1852,2053
30,6,1882,2084
31,1,1876,2076
32,9,1867,2089
33,1,1898,2138
34,1,1850,2100
36,5,1887,2086
37,3,1878,2129
38,2,1883,2119
39,2,1893,2137
43,3,1860,2152
45,2,1868,2135
49,2,1889,2179
50,4,1819,2113
53,8,1795,2130
55,4,1826,2144
59,6,1802,2132
63,8,1779,2194
66,5,1700,2107
71,6,1836,2243
72,8,1777,2197
73,6,1690,2138
74,4,1738,2182
76,7,1744,2203
78,9,1659,2203
79,5,1641,2143
82,1,1771,2235
83,7,1699,2188
84,6,1713,2221
95,2,1640,2286
97,5,1669,2260
99,2,1626,2254
100,9,1657,2263
101,8,1587,2230
102,9,1541,2204
108,3,1588,2255
109,8,1524,2223
111,4,1613,2283
113,6,1525,2230
115,1,1510,2259
120,6,1455,2254
121,8,1391,2218
122,9,1521,2256
124,8,1428,2244
125,3,1393,2215
126,4,1407,2261
132,4,1405,2230
135,7,1377,2213
140,3,1340,2206
141,3,1327,2230
143,6,1412,2247
146,4,1405,2284
148,6,1285,2207
153,3,1177,2151
155,6,1224,2190
156,8,1234,2211
163,9,1138,2170
164,6,1149,2195
166,3,1096,2155
168,6,1083,2189
169,6,1131,2192
173,6,1075,2194
175,1,1044,2161
176,9,1044,2177
178,2,1068,2185
179,8,1041,2202
182,8,947,2139
183,6,1013,2204
184,4,957,2170
186,6,997,2192
188,8,960,2175
189,1,974,2169
190,8,926,2152
193,2,920,2165
194,3,878,2146
195,1,895,2156
199,8,855,2150
202,5,822,2131
205,6,821,2142
207,5,829,2166
208,1,818,2145
209,8,796,2117
210,8,792,2124
211,3,794,2136
