nrh,ix,L,R
12,4,1032,847
16,6,1038,848
21,2,1036,869
22,2,1025,860
23,4,1034,856
24,4,1028,885
25,4,1029,863
27,1,1032,867
30,8,1035,866
34,9,1024,877
35,8,1024,878
36,2,1030,874
37,6,1023,878
41,6,1023,859
43,4,1023,884
44,9,1032,878
52,6,1023,895
54,1,1013,878
56,3,1014,874
63,7,1014,872
65,9,990,876
66,1,1014,898
70,2,1005,893
71,9,1005,913
78,1,1000,902
79,8,1003,900
83,2,1003,901
84,6,1007,903
86,3,989,872
87,1,977,910
88,4,993,889
91,5,985,901
97,1,973,896
100,6,968,885
104,3,961,889
105,8,968,929
110,7,972,930
112,9,955,896
113,9,964,889
114,4,971,891
118,1,963,892
124,5,953,891
125,1,957,920
126,2,960,888
127,3,942,878
132,8,954,896
140,5,939,915
143,3,944,900
145,9,938,899
146,5,935,880
147,1,939,892
148,9,932,879
150,8,937,892
156,3,925,877
165,2,924,903
166,6,935,909
169,8,923,898
171,4,933,915
174,3,918,886
176,6,932,898
188,7,900,872
191,8,884,841
193,4,882,865
195,4,901,866
200,3,893,884
201,4,894,896
208,1,874,884
213,4,877,869
216,5,848,877
226,8,865,887
227,6,848,856
230,6,841,878
232,4,847,876
234,5,845,849
235,6,863,871
236,1,855,912
242,8,831,894
244,6,836,896
245,7,821,868
246,7,840,886
250,8,820,916
251,7,828,882
253,3,824,885
254,1,812,864
260,3,800,911
262,4,772,897
270,2,766,876
274,2,757,888
283,4,750,874
286,8,741,899
291,5,733,908
292,9,717,900
296,1,723,901
297,9,737,904
300,5,714,914
301,9,733,886
309,4,707,901
310,3,696,905
311,2,697,908
314,3,694,904
