nrh,ix,L,R
3,4,1598,517
5,5,1603,517
13,3,1614,523
14,3,1605,533
20,4,1608,535
30,3,1618,558
31,1,1611,558
46,9,1599,592
50,1,1612,594
53,3,1591,600
55,5,1612,610
59,8,1597,629
63,9,1591,605
66,9,1583,668
78,5,1570,693
81,9,1554,698
84,9,1546,729
87,7,1546,702
95,8,1562,717
103,1,1570,752
106,3,1535,766
108,6,1557,747
109,3,1575,754
111,1,1522,782
126,3,1537,773
138,7,1507,819
153,1,1378,908
157,5,1479,833
160,1,1396,862
166,9,1441,876
175,2,1391,920
185,5,1377,905
186,3,1441,873
193,8,1368,923
204,6,1271,988
207,3,1284,932
209,5,1293,952
223,3,1276,969
224,4,1268,954
230,1,1281,956
238,7,1168,1088
239,1,1297,977
244,4,1221,1010
247,2,1171,1103
250,6,1180,1058
251,1,1198,1009
275,6,1164,1071
276,1,1156,1088
278,9,1154,1093
280,9,1125,1081
284,8,1117,1174
286,9,1120,1121
290,8,1126,1171
291,4,1133,1141
292,6,1121,1128
296,2,1134,1110
301,6,1087,1219
318,1,1067,1238
328,5,1032,1282
329,7,1017,1429
345,8,997,1470
347,4,1008,1383
348,9,955,1382
349,5,1008,1393
350,3,960,1484
355,3,992,1434
363,1,949,1438
367,8,937,1497
376,5,928,1550
378,5,940,1469
386,9,920,1515
390,2,912,1533
397,9,904,1561
406,3,850,1535
426,3,817,1560
429,7,803,1573
437,9,817,1606
438,4,752,1617
443,2,770,1661
445,7,790,1591
447,5,784,1575
448,2,775,1578
450,1,796,1605
459,2,774,1632
462,5,772,1642
464,2,689,1650
465,9,735,1629
476,9,670,1627
479,8,720,1632
494,3,663,1619
497,4,624,1624
500,9,683,1649
502,6,648,1643
505,5,624,1647
506,9,611,1640
520,6,609,1634
529,4,580,1631
532,1,534,1630
536,8,561,1630
543,2,527,1636
