nrh,ix,L,R
1,4,1316,593
3,8,1305,620
8,5,1276,643
9,9,1295,634
10,5,1254,646
12,1,1261,676
16,5,1194,706
17,5,1225,688
20,8,1192,729
27,2,1159,752
30,2,1145,757
32,8,1124,777
33,9,1119,806
34,6,1094,838
36,7,1093,850
37,7,1067,852
38,5,1085,840
39,6,1047,824
40,4,1040,897
42,9,1083,859
44,5,1061,879
45,6,1041,911
46,9,1093,891
47,7,1010,918
48,8,1032,888
49,7,1051,925
51,2,1022,937
52,1,1005,959
53,8,1009,906
55,8,998,955
56,1,978,913
57,3,977,945
60,5,1000,972
62,7,1005,992
68,8,924,1032
72,6,916,1063
74,2,872,1088
75,8,846,1078
76,3,853,1067
77,7,858,1105
80,9,835,1127
81,5,873,1124
82,4,824,1123
85,2,838,1139
87,1,785,1116
88,4,794,1121
91,3,821,1197
93,7,767,1179
97,6,759,1176
100,2,750,1214
101,6,746,1265
102,1,737,1216
104,8,727,1208
105,6,700,1225
110,1,687,1267
112,6,681,1287
113,3,674,1287
114,9,704,1305
115,9,640,1335
116,9,640,1312
117,4,650,1281
118,2,666,1303
119,5,622,1273
120,5,620,1309
121,2,667,1348
122,6,619,1339
124,5,621,1368
127,6,611,1335
130,4,560,1352
131,3,558,1357
132,7,571,1357
133,1,529,1358
134,8,573,1395
137,3,558,1390
138,3,532,1353
139,8,536,1370
141,1,538,1402
142,8,515,1395
143,2,508,1407
146,1,512,1441
147,8,499,1371
148,3,489,1411
150,3,472,1397
152,3,471,1414
156,2,454,1448
157,7,463,1452
158,7,437,1432
160,8,427,1429
162,9,441,1486
164,1,414,1478
166,8,434,1496
167,4,414,1484
168,5,411,1482
170,7,415,1496
171,1,408,1510
180,2,391,1549
182,6,387,1549
184,8,395,1588
185,5,385,1589
188,5,372,1568
