nrh,ix,L,R
4,8,1199,581
20,3,1204,587
23,2,1205,595
27,7,1217,605
29,6,1210,589
37,1,1217,592
43,7,1214,607
48,5,1210,640
58,4,1208,609
88,8,1201,639
109,6,1210,671
111,3,1228,665
115,9,1228,657
116,4,1217,658
132,2,1204,708
154,4,1210,731
155,1,1226,733
176,4,1189,771
178,2,1183,793
183,9,1193,735
185,9,1214,784
191,1,1202,728
193,6,1194,805
203,8,1207,794
204,6,1202,806
235,1,1176,814
241,2,1199,815
245,6,1198,831
270,8,1163,834
271,2,1196,873
281,9,1207,868
287,5,1175,848
288,1,1183,875
296,9,1211,896
305,8,1202,926
311,7,1137,876
312,5,1180,897
318,3,1205,908
330,8,1175,898
335,6,1162,914
336,9,1156,938
340,6,1145,930
342,1,1159,916
344,9,1166,929
345,5,1144,916
382,6,1171,916
387,8,1121,924
389,1,1162,945
392,4,1163,933
395,5,1153,988
398,9,1113,938
407,6,1124,987
427,7,1122,961
436,3,1130,961
438,1,1115,964
444,9,1097,976
450,6,1091,967
462,9,1079,990
466,7,1094,1003
467,9,1087,955
474,1,1082,985
483,4,1106,996
493,4,1090,989
513,5,1042,993
514,7,1035,968
522,3,1058,1009
541,3,1027,1018
545,2,1009,978
548,8,989,974
555,3,1017,976
568,3,983,998
588,8,983,1013
591,4,925,1021
595,3,949,970
596,9,965,994
604,7,982,1009
607,5,968,1016
617,8,973,1018
622,9,923,1011
629,5,911,971
630,6,906,998
637,8,882,988
653,9,905,1023
654,4,913,1003
659,9,916,1011
684,3,856,987
699,8,801,1040
702,9,798,1036
715,3,775,1009
717,2,809,998
740,1,737,1046
743,1,739,1021
748,3,764,1040
751,9,731,1055
767,9,708,1023
782,7,690,1058
790,8,671,1038
803,9,646,1082
817,2,621,1066
823,4,618,1057
