nrh,ix,L,R
18,4,2351,1493
19,8,2358,1475
28,6,2344,1558
32,9,2347,1528
33,1,2321,1559
42,1,2349,1574
50,2,2329,1619
63,6,2332,1680
66,7,2351,1686
70,5,2332,1671
75,8,2321,1698
77,3,2366,1702
80,4,2353,1736
83,1,2341,1744
92,2,2338,1775
93,8,2323,1780
98,7,2295,1799
112,6,2341,1853
117,8,2299,1895
120,4,2307,1877
121,7,2304,1869
122,4,2306,1887
130,4,2316,1920
138,8,2304,1946
139,6,2305,1914
140,8,2277,1941
142,8,2316,1966
146,5,2304,1978
147,7,2293,1950
156,7,2268,1997
157,9,2307,1979
160,6,2267,2079
166,7,2299,2064
169,5,2280,2084
177,8,2309,2086
179,6,2287,2116
188,3,2264,2149
199,8,2251,2146
204,2,2218,2166
206,6,2218,2203
236,3,2191,2291
238,6,2238,2325
242,3,2165,2323
246,3,2192,2363
258,3,2156,2408
261,8,2189,2449
274,1,2129,2488
277,8,2104,2491
282,3,2122,2464
295,2,2101,2547
296,1,2156,2551
303,8,2056,2500
304,8,2088,2612
305,9,2091,2509
315,2,2061,2571
327,4,2058,2573
336,9,2058,2685
337,6,2057,2620
340,6,2048,2658
341,6,2012,2650
342,3,2042,2624
343,6,2036,2657
347,7,2048,2628
348,5,2070,2716
355,3,2043,2717
364,6,1991,2742
365,9,2039,2703
367,3,2009,2822
368,5,2039,2785
370,2,2020,2743
382,7,1969,2824
393,8,1999,2872
397,2,1943,2825
399,2,1936,2845
406,3,1939,2852
411,7,1896,2840
420,2,1912,2861
425,6,1897,2885
428,4,1885,2882
436,7,1893,2925
452,2,1863,2953
456,1,1857,2936
461,8,1833,2969
465,2,1861,2984
466,9,1838,2952
472,5,1816,2987
473,2,1819,2963
476,3,1813,2991
477,2,1833,2930
487,7,1837,2995
495,8,1824,3025
498,9,1780,3007
501,4,1803,3018
525,8,1753,3034
532,2,1731,3066
549,8,1700,3079
553,2,1675,3078
558,4,1671,3098
559,6,1677,3082
564,4,1657,3093
